Brand,Sneaker Name,Display Sneaker Name,Release Date,Release Date + 30 Days,Retail Price,# of Sales,Avg Sale Price,Median Sale Price,Avg Price Premium
Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,Air Jordan 1 Retro High Off-White Chicago,2017-09-09,2017-10-09,190,48,1938.56,1903.5,920.3
Off-White,Air-Jordan-1-Retro-High-Off-White-White,Air Jordan 1 Retro High Off-White White,2018-03-03,2018-04-02,190,118,1711.9,1697.0,801.0
Off-White,Nike-Air-Presto-Off-White,Nike Air Presto Off-White,2017-09-09,2017-10-09,160,48,1220.65,1220.0,662.9
Off-White,Nike-Blazer-Mid-Off-White,Nike Blazer Mid Off-White,2017-09-09,2017-10-09,130,33,698.42,699.0,437.2
Off-White,Nike-Air-Max-90-Off-White,Nike Air Max 90 Off-White,2017-09-09,2017-10-09,160,37,840.78,830.0,425.5
Off-White,Nike-Air-Max-97-Off-White-Elemental-Rose-Queen,Nike Air Max 97 Off-White Elemental Rose Queen,2018-08-25,2018-09-24,190,132,904.25,904.0,375.9
Off-White,Nike-Blazer-Mid-Off-White-All-Hallows-Eve,Nike Blazer Mid Off-White All Hallows Eve,2018-10-03,2018-11-02,130,861,612.57,605.0,371.2
Off-White,Nike-Air-Presto-Off-White-Black-2018,Nike Air Presto Off-White Black 2018,2018-07-27,2018-08-26,160,1034,723.44,719.0,352.2
Off-White,Nike-Air-VaporMax-Off-White,Nike Air VaporMax Off-White,2017-09-09,2017-10-09,250,36,1048.56,1003.5,319.4
Off-White,Nike-Blazer-Mid-Off-White-Grim-Reaper,Nike Blazer Mid Off-White Grim Reaper,2018-10-03,2018-11-02,130,782,539.18,531.0,314.8
Off-White,Air-Jordan-1-Retro-High-Off-White-University-Blue,Air Jordan 1 Retro High Off-White University Blue,2018-06-23,2018-07-23,190,826,785.14,765.0,313.2
Off-White,Nike-Air-Presto-Off-White-White-2018,Nike Air Presto Off-White White 2018,2018-08-03,2018-09-02,160,928,651.55,650.5,307.2
Off-White,Nike-Air-Max-97-Off-White-Menta,Nike Air Max 97 Off-White Menta,2018-10-18,2018-11-17,190,153,749.73,730.0,294.6
Off-White,Nike-Air-Max-97-Off-White-Black,Nike Air Max 97 Off-White Black,2018-10-18,2018-11-17,190,204,653.62,640.0,244.0
Off-White,Nike-Air-Force-1-Low-Off-White-Black-White,Nike Air Force 1 Low Off-White Black White,2018-12-19,2019-01-18,170,746,498.38,498.0,193.2
Off-White,Nike-Air-Max-97-Off-White,Nike Air Max 97 Off-White,2017-11-01,2017-12-01,190,153,537.03,500.0,182.6
Off-White,Nike-Air-VaporMax-Off-White-2018,Nike Air VaporMax Off-White 2018,2018-04-14,2018-05-14,250,635,565.84,560.0,126.3
Off-White,Nike-Air-Force-1-Low-Off-White-Volt,Nike Air Force 1 Low Off-White Volt,2018-12-19,2019-01-18,170,747,377.23,377.0,121.9
Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,Nike React Hyperdunk 2017 Flyknit Off-White,2017-11-01,2017-12-01,200,152,436.97,413.5,118.5
Off-White,Nike-Zoom-Fly-Mercurial-Off-White-Black,Nike Zoom Fly Mercurial Off-White Black,2018-06-14,2018-07-14,200,344,358.32,350.0,79.2
Off-White,Nike-Zoom-Fly-Off-White-Pink,Nike Zoom Fly Off-White Pink,2018-11-28,2018-12-28,170,1006,270.73,266.0,59.3
Off-White,Nike-Zoom-Fly-Mercurial-Off-White-Total-Orange,Nike Zoom Fly Mercurial Off-White Total Orange,2018-06-14,2018-07-14,200,321,307.13,295.0,53.6
Off-White,Nike-Air-Force-1-Low-Off-White,Nike Air Force 1 Low Off-White,2017-11-01,2017-12-01,170,141,538.08,513.0,216.5
Off-White,Nike-Air-VaporMax-Off-White-Black,Nike Air VaporMax Off-White Black,2018-03-30,2018-04-29,250,523,615.32,610.0,146.1
